pvalue adj_pvalue weight weighted_pvalue group covariate fold symbol bh
0.0664 1 0.0235148833964863 1 2 -3.97079617725062 2 ACOXL 1
0.274 1 0.167031115853511 1 6 -0.304335573839021 1 ACP1 1
0.155 1 0.00325203937274412 1 6 -0.179217525022815 3 ACP2 1
0.815 1 0.242378328860233 1 7 0.281981002140335 2 ACP4 1
1 1 0 1 3 -2.4440575617168 1 ACP5 1
0.733 1 0.363558486252013 1 5 -1.13887314300449 1 ACP6 1
0.132 1 0.212876412581341 0.620078093196737 1 -4.9229530580488 5 ACR 1
0.384 1 0.0235148833964863 1 2 -3.5348086908942 2 ACRBP 1
0.624 1 0.221390839485928 1 7 0.0908239476945699 4 ACRV1 1
0.544 1 0.242378328860233 1 8 1.59087917323798 2 ACSBG1 1
0.0259 1 0.200643126846621 0.129084910143964 1 -6.04728431798604 1 ACSBG2 0.876279569892473
1 1 0 1 3 -2.10853425877808 4 ACSF2 1
0.461 1 0 1 3 -2.93767943664335 3 ACSF3 1
0.579 1 0.218478071455209 1 8 1.32226299415347 1 ACSL1 1
0.706 1 5.5207154440852 0.127881976013887 11 5.38290223678092 5 ACSL3 1
1 1 6.42527294603216 0.155635411662556 11 5.70553267109386 1 ACSL4 1
0.158 1 0.385724781771319 0.409618483091584 7 0.167429451412326 5 ACSL5 1
0.0601 1 0.385724781771319 0.155810574897495 7 0.629137385911328 5 ACSL6 1
0.638 1 0.0235148833964863 1 2 -4.02666434926927 2 ACSM1 1
0.688 1 0.200643126846621 1 1 -4.91396407091164 1 ACSM2A 1
0.459 1 0.201957859135383 1 1 -4.82456696939477 3 ACSM2B 1
0.92 1 0.0213350353753258 1 2 -3.86229603326456 3 ACSM3 1
0.172 1 0.0213350353753258 1 2 -3.05471421251057 3 ACSM4 1
0.912 1 0.11679592833327 1 3 -2.8348653270932 5 ACSM5 1
0.401 1 0.363558486252013 1 5 -0.985961206104903 1 ACSM6 1
0.159 1 0.370418080332222 0.429244706028915 9 2.22930882633359 1 ACSS1 1
0.92 1 0.363558486252013 1 5 -0.915565763405903 1 ACSS2 1
0.402 1 0.370418080332222 1 9 2.27475236631828 1 ACSS3 1
0.479 1 0.0254833920080453 1 4 -1.55577872727615 1 ACTA1 1
0.63 1 0.370418080332222 1 9 2.44673554776699 1 ACTA2 1
0.451 0.987759254344697 5.1236008176401 0.0880240315457923 11 4.90904607004592 4 ACTB 1
0.693 1 0.0213350353753258 1 2 -3.63713774136503 3 ACTBL2 1
0.755 1 0.169605541081847 1 5 -1.12889324022994 4 ACTC1 1
0.717 1 5.1236008176401 0.139940644386548 11 4.96128458313593 4 ACTG1 1
0.583 1 0.363558486252013 1 5 -0.887963708398501 1 ACTG2 1
0.0833 1 0.0235148833964863 1 2 -3.78090433590649 2 ACTL10 1
0.812 1 0.365940736211137 1 5 -1.35525241632959 3 ACTL6A 1
0.179 0.831638221018783 4.07367989367099 0.0439406150390218 10 3.10374429658313 3 ACTL6B 1
1 1 0.212876412581341 1 1 -5.23119041302861 5 ACTL7A 1
0.659 1 0.0287657796889068 1 1 -5.02343737398306 2 ACTL7B 1
1 1 0.200643126846621 1 1 -4.66953571096591 1 ACTL8 1
0.709 1 0.166477570037299 1 1 -4.82606692968167 4 ACTL9 1
0.901 1 6.42527294603216 0.140227505907963 11 5.55849650325589 1 ACTN1 1
0.538 1 0.370418080332222 1 9 2.8872190312245 1 ACTN2 1
0.632 1 5.5207154440852 0.114477916205066 11 5.27448144382041 5 ACTN4 1
1 1 0.218478071455209 1 8 1.43152286949476 1 ACTR10 1
0.0427 1 0.221390839485928 0.192871575441648 8 1.53647392299482 4 ACTR1A 0.964707928388747
1 1 0.40332971521484 1 5 -0.88167342313881 2 ACTR1B 1
0.949 1 5.5207154440852 0.171898010250962 11 6.24771105802261 5 ACTR2 1
0.26 0.831638221018783 5.91730979646276 0.0439388859030877 11 5.88589121115776 3 ACTR3 1
0.891 1 3.68310071232421 0.241915730682731 10 4.05624025394104 4 ACTR3B 1
1 1 0 1 3 -2.42312057533568 2 ACTR3C 1
0.737 1 0.11679592833327 1 3 -2.72298815792834 5 ACTR5 1
0.682 1 0.365940736211137 1 5 -0.650321313135448 3 ACTR6 1
0.97 1 0.167031115853511 1 6 0.0603168445388831 1 ACTR8 1
1 1 0.2874741298107 1 4 -1.89310959032657 5 ACTRT1 1
0.51 1 0.0786778673396068 1 6 0.0908239476945699 2 ACTRT2 1
0.414 1 0.274566347243145 1 4 -1.99084947142385 4 ACTRT3 1
0.543 1 4.82193052456063 0.112610498478611 10 4.48521012637312 2 ACVR1 1
0.786 1 3.68310071232421 0.213407142891837 10 3.42255516148701 4 ACVR1B 1
1 1 0.385724781771319 1 8 1.72028534440275 5 ACVR1C 1
0.713 1 4.82193052456063 0.147866087320901 11 4.71317734670344 2 ACVR2A 1
